Date Time Milliseconds
2025/1/13 9:50:22 249890
2025/1/13 9:50:23 250024
2025/1/13 9:50:23 250318
2025/1/13 9:50:23 250613
2025/1/13 9:50:23 250787
2025/1/13 9:50:23 250920
2025/1/13 9:50:24 251059
2025/1/13 9:50:24 251273
2025/1/13 9:50:24 251649
2025/1/13 9:50:26 Stopped
2025/1/13 9:50:28 Stopped
2025/1/13 9:50:30 Stopped
2025/1/13 9:50:32 Stopped
2025/1/13 9:50:34 Stopped
2025/1/13 9:50:36 Stopped
2025/1/13 9:50:38 265732
2025/1/13 9:50:38 265947
2025/1/13 9:50:39 266121
2025/1/13 9:50:39 266294
2025/1/13 9:50:39 266508
2025/1/13 9:50:39 266722
2025/1/13 9:50:39 266937
2025/1/13 9:50:40 267191
2025/1/13 9:50:40 267445
2025/1/13 9:50:40 267702
2025/1/13 9:50:40 267997
2025/1/13 9:50:41 268254
2025/1/13 9:50:41 268508
2025/1/13 9:50:41 268722
2025/1/13 9:50:41 268896
2025/1/13 9:50:42 269110
2025/1/13 9:50:42 269365
2025/1/13 9:50:42 269699
2025/1/13 9:50:43 270034
2025/1/13 9:50:43 270410
2025/1/13 9:50:43 270826
2025/1/13 9:50:44 271362
2025/1/13 9:50:44 271898
2025/1/13 9:50:45 272554
2025/1/13 9:50:46 273654
2025/1/13 9:50:48 Stopped
2025/1/13 9:50:50 Stopped
2025/1/13 9:50:52 Stopped
2025/1/13 9:50:54 Stopped
2025/1/13 9:50:56 Stopped
2025/1/13 9:50:58 Stopped
2025/1/13 9:51:0 287103
2025/1/13 9:51:0 287678
2025/1/13 9:51:1 288133
2025/1/13 9:51:1 288548
2025/1/13 9:51:1 288963
2025/1/13 9:51:2 289419
2025/1/13 9:51:2 289874
2025/1/13 9:51:3 290289
2025/1/13 9:51:3 290705
2025/1/13 9:51:4 291041
2025/1/13 9:51:4 291375
2025/1/13 9:51:4 291710
2025/1/13 9:51:5 292125
2025/1/13 9:51:5 292499
2025/1/13 9:51:5 292877
2025/1/13 9:51:6 293252
2025/1/13 9:51:6 293627
2025/1/13 9:51:6 294001
2025/1/13 9:51:7 294377
2025/1/13 9:51:7 294792
2025/1/13 9:51:9 Stopped
2025/1/13 9:51:11 Stopped
2025/1/13 9:51:13 Stopped
2025/1/13 9:51:16 Stopped
2025/1/13 9:51:18 Stopped
2025/1/13 9:51:19 306088
2025/1/13 9:51:19 306382
2025/1/13 9:51:19 306518
2025/1/13 9:51:19 306692
2025/1/13 9:51:20 307308
2025/1/13 9:51:20 307402
2025/1/13 9:51:20 307495
2025/1/13 9:51:20 307590
2025/1/13 9:51:20 307965
2025/1/13 9:51:21 308098
2025/1/13 9:51:21 308272
2025/1/13 9:51:21 308526
2025/1/13 9:51:22 309224
2025/1/13 9:51:22 309799
2025/1/13 9:51:23 310094
2025/1/13 9:51:23 310710
2025/1/13 9:51:23 310843
2025/1/13 9:51:23 310977
2025/1/13 9:51:24 311110
2025/1/13 9:51:24 311244
2025/1/13 9:51:24 311337
2025/1/13 9:51:24 311473
2025/1/13 9:51:24 311728
2025/1/13 9:51:24 311821
2025/1/13 9:51:24 311914
2025/1/13 9:51:25 312291
2025/1/13 9:51:25 312545
2025/1/13 9:51:25 312679
2025/1/13 9:51:25 312813
2025/1/13 9:51:26 313026
2025/1/13 9:51:26 313201
2025/1/13 9:51:26 313415
2025/1/13 9:51:26 313710
2025/1/13 9:51:27 314690
2025/1/13 9:51:28 315105
2025/1/13 9:51:28 315362
2025/1/13 9:51:28 315616
2025/1/13 9:51:28 315830
2025/1/13 9:51:29 316044
2025/1/13 9:51:29 316258
2025/1/13 9:51:29 316514
2025/1/13 9:51:29 316769
2025/1/13 9:51:30 317305
2025/1/13 9:51:30 317882
2025/1/13 9:51:31 318337
2025/1/13 9:51:31 318712
2025/1/13 9:51:32 319086
2025/1/13 9:51:32 319502
2025/1/13 9:51:32 319956
2025/1/13 9:51:33 320412
2025/1/13 9:51:34 321634
2025/1/13 9:51:35 322652
2025/1/13 9:51:36 323871
2025/1/13 9:51:38 Stopped
2025/1/13 9:51:40 Stopped
2025/1/13 9:51:42 329128
2025/1/13 9:51:42 329702
2025/1/13 9:51:43 330198
2025/1/13 9:51:43 330694
2025/1/13 9:51:44 331191
2025/1/13 9:51:44 331649
2025/1/13 9:51:45 332144
2025/1/13 9:51:45 332801
2025/1/13 9:51:46 333416
2025/1/13 9:51:46 333871
2025/1/13 9:51:47 334326
2025/1/13 9:51:47 334862
2025/1/13 9:51:48 335599
2025/1/13 9:51:49 336455
2025/1/13 9:51:49 336991
2025/1/13 9:51:50 337366
2025/1/13 9:51:50 337660
2025/1/13 9:51:50 337955
2025/1/13 9:51:51 338250
2025/1/13 9:51:51 338707
2025/1/13 9:51:52 339608
2025/1/13 9:51:52 339902
2025/1/13 9:51:53 340157
2025/1/13 9:51:53 340416
