Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/13 11:29:14 27.11 305.00 0
2025/1/13 11:29:14 27.19 305.00 0
2025/1/13 11:29:14 27.17 309.00 0
2025/1/13 11:29:14 27.15 310.00 0
2025/1/13 11:29:15 27.19 310.00 0
2025/1/13 11:29:15 27.09 311.00 0
2025/1/13 11:29:15 27.15 304.00 0
2025/1/13 11:29:15 27.19 304.00 0
2025/1/13 11:29:16 27.09 304.00 0
2025/1/13 11:29:16 27.07 308.00 0
2025/1/13 11:29:16 27.13 310.00 0
2025/1/13 11:29:16 27.11 309.00 0
2025/1/13 11:29:17 27.17 306.00 0
2025/1/13 11:29:17 27.15 306.00 0
2025/1/13 11:29:17 27.11 305.00 0
2025/1/13 11:29:17 27.09 310.00 0
2025/1/13 11:29:18 27.11 310.00 0
2025/1/13 11:29:18 27.13 308.00 0
2025/1/13 11:29:18 27.15 310.00 0
2025/1/13 11:29:18 27.13 306.00 0
2025/1/13 11:29:18 27.09 306.00 0
2025/1/13 11:29:19 27.09 306.00 0
2025/1/13 11:29:19 27.09 307.00 0
2025/1/13 11:29:19 27.19 315.00 0
2025/1/13 11:29:19 27.09 305.00 0
2025/1/13 11:29:20 27.09 314.00 0
2025/1/13 11:29:20 27.15 306.00 0
2025/1/13 11:29:20 27.13 311.00 0
2025/1/13 11:29:21 27.09 313.00 0
2025/1/13 11:29:21 27.15 309.00 0
2025/1/13 11:29:22 27.11 310.00 0
2025/1/13 11:29:22 27.23 315.00 0
2025/1/13 11:29:23 27.09 308.00 0
2025/1/13 11:29:23 27.09 318.00 0
2025/1/13 11:29:23 27.21 307.00 0
2025/1/13 11:29:23 27.09 318.00 0
2025/1/13 11:29:24 27.13 320.00 0
2025/1/13 11:29:24 27.15 320.00 0
2025/1/13 11:29:24 27.19 320.00 0
2025/1/13 11:29:24 27.21 320.00 0
2025/1/13 11:29:25 27.13 320.00 0
2025/1/13 11:29:25 27.07 307.00 0
2025/1/13 11:29:25 27.13 307.00 0
2025/1/13 11:29:25 27.15 314.00 0
2025/1/13 11:29:26 27.13 307.00 0
2025/1/13 11:29:26 27.13 306.00 0
2025/1/13 11:29:26 27.17 307.00 0
2025/1/13 11:29:26 27.19 320.00 0
2025/1/13 11:29:26 27.15 320.00 0
2025/1/13 11:29:27 27.15 320.00 0
2025/1/13 11:29:27 27.09 306.00 0
2025/1/13 11:29:27 27.09 306.00 0
2025/1/13 11:29:27 27.11 306.00 0
2025/1/13 11:29:28 27.09 313.00 0
2025/1/13 11:29:28 27.17 321.00 0
2025/1/13 11:29:28 27.09 322.00 0
2025/1/13 11:29:28 27.11 312.00 0
2025/1/13 11:29:29 27.09 321.00 0
2025/1/13 11:29:29 27.15 313.00 0
2025/1/13 11:29:29 27.19 321.00 0
2025/1/13 11:29:29 27.25 321.00 0
2025/1/13 11:29:30 27.11 322.00 0
2025/1/13 11:29:30 27.21 315.00 0
2025/1/13 11:29:30 27.11 322.00 0
2025/1/13 11:29:30 27.13 304.00 0
2025/1/13 11:29:30 27.15 322.00 0
2025/1/13 11:29:31 27.15 305.00 0
2025/1/13 11:29:31 27.13 307.00 0
2025/1/13 11:29:31 27.21 315.00 0
2025/1/13 11:29:31 27.21 306.00 0
2025/1/13 11:29:32 27.17 314.00 0
2025/1/13 11:29:32 27.23 309.00 0
2025/1/13 11:29:32 27.15 313.00 0
2025/1/13 11:29:32 27.07 321.00 0
2025/1/13 11:29:33 27.19 307.00 0
2025/1/13 11:29:33 27.15 311.00 0
2025/1/13 11:29:33 27.19 306.00 0
2025/1/13 11:29:33 27.19 320.00 0
2025/1/13 11:29:34 27.17 305.00 0
2025/1/13 11:29:34 27.25 318.00 0
2025/1/13 11:29:35 27.21 307.00 0
2025/1/13 11:29:35 27.25 304.00 0
2025/1/13 11:29:36 27.21 318.00 0
2025/1/13 11:29:36 27.19 317.00 0
2025/1/13 11:29:36 27.17 309.00 0
2025/1/13 11:29:36 27.19 312.00 0
2025/1/13 11:29:37 27.13 309.00 0
2025/1/13 11:29:37 27.21 318.00 0
2025/1/13 11:29:38 27.13 317.00 0
2025/1/13 11:29:38 27.21 314.00 0
2025/1/13 11:29:38 27.17 313.00 0
2025/1/13 11:29:38 27.23 314.00 0
2025/1/13 11:29:39 27.17 321.00 0
2025/1/13 11:29:39 27.23 323.00 0
2025/1/13 11:29:39 27.21 311.00 0
2025/1/13 11:29:39 27.21 321.00 0
2025/1/13 11:29:40 27.17 323.00 0
2025/1/13 11:29:40 27.15 308.00 0
2025/1/13 11:29:40 27.23 307.00 0
2025/1/13 11:29:40 27.15 319.00 0
2025/1/13 11:29:41 27.17 309.00 0
2025/1/13 11:29:41 27.21 314.00 0
2025/1/13 11:29:41 27.23 320.00 0
2025/1/13 11:29:41 27.19 306.00 0
2025/1/13 11:29:41 27.25 316.00 0
2025/1/13 11:29:42 27.15 315.00 0
2025/1/13 11:29:42 27.21 313.00 0
2025/1/13 11:29:42 27.27 311.00 0
2025/1/13 11:29:42 27.27 309.00 0
2025/1/13 11:29:43 27.21 324.00 0
2025/1/13 11:29:43 27.21 310.00 0
2025/1/13 11:29:43 27.27 310.00 0
2025/1/13 11:29:43 27.25 325.00 0
2025/1/13 11:29:44 27.23 309.00 0
2025/1/13 11:29:44 27.23 314.00 0
2025/1/13 11:29:44 27.23 318.00 0
2025/1/13 11:29:44 27.25 316.00 0
2025/1/13 11:29:45 27.21 318.00 0
2025/1/13 11:29:45 27.25 314.00 0
2025/1/13 11:29:45 27.21 314.00 0
2025/1/13 11:29:45 27.25 319.00 0
2025/1/13 11:29:45 27.25 308.00 0
2025/1/13 11:29:46 27.25 322.00 0
2025/1/13 11:29:46 27.25 323.00 0
2025/1/13 11:29:46 27.25 313.00 0
2025/1/13 11:29:46 27.23 308.00 0
2025/1/13 11:29:47 27.17 323.00 0
2025/1/13 11:29:47 27.25 307.00 0
2025/1/13 11:29:48 27.33 305.00 0
2025/1/13 11:29:48 27.21 306.00 0
2025/1/13 11:29:48 27.21 314.00 0
2025/1/13 11:29:48 27.33 306.00 0
2025/1/13 11:29:49 27.27 318.00 0
2025/1/13 11:29:49 27.23 306.00 0
2025/1/13 11:29:49 27.23 316.00 0
2025/1/13 11:29:49 27.27 306.00 0
2025/1/13 11:29:50 27.21 316.00 0
2025/1/13 11:29:50 27.21 315.00 0
2025/1/13 11:29:50 27.23 305.00 0
2025/1/13 11:29:50 27.19 314.00 0
2025/1/13 11:29:51 27.23 311.00 0
2025/1/13 11:29:51 27.33 318.00 0
2025/1/13 11:29:51 27.23 305.00 0
2025/1/13 11:29:51 27.17 314.00 0
2025/1/13 11:29:52 27.21 317.00 0
2025/1/13 11:29:52 27.23 306.00 0
2025/1/13 11:29:52 27.27 311.00 0
2025/1/13 11:29:52 27.21 317.00 0
2025/1/13 11:29:53 27.27 317.00 0
2025/1/13 11:29:53 27.33 317.00 0
2025/1/13 11:29:53 27.25 319.00 0
2025/1/13 11:29:53 27.25 316.00 0
2025/1/13 11:29:53 27.29 303.00 0
2025/1/13 11:29:54 27.27 307.00 0
2025/1/13 11:29:54 27.27 314.00 0
2025/1/13 11:29:54 27.23 318.00 0
2025/1/13 11:29:54 27.25 305.00 0
2025/1/13 11:29:55 27.23 313.00 0
2025/1/13 11:29:55 27.27 308.00 0
2025/1/13 11:29:55 27.27 308.00 0
2025/1/13 11:29:55 27.31 308.00 0
2025/1/13 11:29:56 27.19 320.00 0
2025/1/13 11:29:56 27.27 310.00 0
2025/1/13 11:29:57 27.25 320.00 0
2025/1/13 11:29:57 27.25 312.00 0
2025/1/13 11:29:57 27.31 320.00 0
2025/1/13 11:29:57 27.27 320.00 0
2025/1/13 11:29:58 27.21 316.00 0
2025/1/13 11:29:58 27.31 306.00 0
2025/1/13 11:29:59 27.25 314.00 0
2025/1/13 11:29:59 27.25 308.00 0
2025/1/13 11:29:59 27.19 308.00 0
2025/1/13 11:29:59 27.27 308.00 0
2025/1/13 11:30:0 27.23 318.00 0
2025/1/13 11:30:0 27.35 319.00 0
2025/1/13 11:30:1 27.27 318.00 0
2025/1/13 11:30:1 27.27 313.00 0
2025/1/13 11:30:1 27.29 315.00 0
2025/1/13 11:30:1 27.25 315.00 0
2025/1/13 11:30:2 27.25 313.00 0
2025/1/13 11:30:2 27.19 313.00 0
2025/1/13 11:30:3 27.27 313.00 0
2025/1/13 11:30:3 27.25 310.00 0
2025/1/13 11:30:3 27.31 315.00 0
2025/1/13 11:30:3 27.27 315.00 0
2025/1/13 11:30:4 27.35 320.00 0
2025/1/13 11:30:4 27.23 320.00 0
2025/1/13 11:30:4 27.25 320.00 0
2025/1/13 11:30:4 27.25 316.00 0
2025/1/13 11:30:5 27.33 311.00 0
2025/1/13 11:30:5 27.27 310.00 0
2025/1/13 11:30:5 27.37 310.00 0
2025/1/13 11:30:5 27.29 307.00 0
2025/1/13 11:30:6 27.27 317.00 0
2025/1/13 11:30:6 27.29 323.00 0
2025/1/13 11:30:6 27.29 309.00 0
2025/1/13 11:30:7 27.35 318.00 0
2025/1/13 11:30:7 27.29 311.00 0
2025/1/13 11:30:7 27.27 313.00 0
2025/1/13 11:30:8 27.21 308.00 0
2025/1/13 11:30:8 27.29 311.00 0
2025/1/13 11:30:9 27.29 315.00 0
2025/1/13 11:30:9 27.23 306.00 0
2025/1/13 11:30:9 27.21 313.00 0
2025/1/13 11:30:9 27.35 309.00 0
